LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     2  atom types
     3  bond types
     3  angle types
     5  dihedral types

  0.0 36.0 xlo xhi
  0.0 36.0 ylo yhi
  0.0 36.0 zlo zhi

Masses

    1 15.035 #C3 "N-Alkane CH3- (UA)" 6 partial charge=0.0
    2 14.027 #C2 "Alkanes -CH2- (UA)" 6 partial charge=0.0

Atoms # full

549 183 1 0.0 14.716 3.404 32.137
550 184 1 0.0 19.252 1.985 32.024
551 184 2 0.0 20.558 2.42 31.722
552 184 1 0.0 20.716 3.404 32.137
553 185 1 0.0 25.252 1.985 32.024
554 185 2 0.0 26.558 2.42 31.722
555 185 1 0.0 26.716 3.404 32.137
556 186 1 0.0 31.252 1.985 32.024
557 186 2 0.0 32.558 2.42 31.722
558 186 1 0.0 32.716 3.404 32.137
559 187 1 0.0 1.252 7.985 32.024
560 187 2 0.0 2.558 8.42 31.722
561 187 1 0.0 2.716 9.404 32.137
562 188 1 0.0 7.252 7.985 32.024
563 188 2 0.0 8.558 8.42 31.722
564 188 1 0.0 8.716 9.404 32.137
565 189 1 0.0 13.252 7.985 32.024
566 189 2 0.0 14.558 8.42 31.722
567 189 1 0.0 14.716 9.404 32.137
568 190 1 0.0 19.252 7.985 32.024
569 190 2 0.0 20.558 8.42 31.722
570 190 1 0.0 20.716 9.404 32.137
571 191 1 0.0 25.252 7.985 32.024
572 191 2 0.0 26.558 8.42 31.722
573 191 1 0.0 26.716 9.404 32.137
574 192 1 0.0 31.252 7.985 32.024
